Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16550.000000,17180.000000,16550.000000,16655.000000,15035.408203,739400
2016-01-05,16500.000000,16705.000000,16365.000000,16410.000000,14814.233398,515700
2016-01-06,15900.000000,15940.000000,15030.000000,15160.000000,13685.788086,1810900
2016-01-07,15340.000000,15640.000000,15190.000000,15225.000000,13744.467773,1171000
2016-01-08,15150.000000,15745.000000,15125.000000,15370.000000,13875.366211,1024500
2016-01-12,14970.000000,14995.000000,14455.000000,14460.000000,13053.858398,1278900
2016-01-13,15180.000000,15620.000000,15105.000000,15395.000000,13897.935547,1142900
2016-01-14,14820.000000,14960.000000,14590.000000,14825.000000,13383.365234,822700
2016-01-15,15125.000000,15300.000000,14740.000000,14870.000000,13423.988281,565800
2016-01-18,14270.000000,14755.000000,14260.000000,14660.000000,13234.410156,699600
2016-01-19,15595.000000,15990.000000,15400.000000,15990.000000,14435.076172,1492400
2016-01-20,15635.000000,15830.000000,14800.000000,14865.000000,13419.475586,1486000
2016-01-21,15000.000000,15755.000000,14740.000000,14750.000000,13315.658203,1219300
2016-01-22,15450.000000,15955.000000,15140.000000,15935.000000,14385.425781,1289400
2016-01-25,16335.000000,16390.000000,15845.000000,15965.000000,14412.507813,798100
2016-01-26,15660.000000,16155.000000,15530.000000,15800.000000,14263.551758,1092600
2016-01-27,16200.000000,16250.000000,15690.000000,15780.000000,14245.496094,903800
2016-01-28,15940.000000,15970.000000,15570.000000,15570.000000,14055.918945,653900
2016-01-29,15690.000000,16870.000000,15640.000000,16655.000000,15035.408203,1607900
2016-02-01,17200.000000,17380.000000,16905.000000,17305.000000,15622.200195,864400
2016-02-02,17105.000000,17300.000000,16930.000000,17175.000000,15504.840820,747400
2016-02-03,17480.000000,18000.000000,16430.000000,16885.000000,15243.043945,1720000
2016-02-04,16565.000000,17595.000000,16455.000000,17195.000000,15522.899414,1381700
2016-02-05,16920.000000,17255.000000,16755.000000,17040.000000,15382.969727,721500
2016-02-08,16650.000000,17450.000000,16605.000000,17365.000000,15676.364258,662800
2016-02-09,16420.000000,16550.000000,15740.000000,15835.000000,14295.148438,1005700
2016-02-10,15760.000000,16075.000000,14985.000000,15250.000000,13767.037109,1037800
2016-02-12,14595.000000,14690.000000,14000.000000,14350.000000,12954.555664,1367400
2016-02-15,15350.000000,15860.000000,15110.000000,15750.000000,14218.414063,902800
2016-02-16,15570.000000,16190.000000,15505.000000,15920.000000,14371.882813,634500
2016-02-17,15935.000000,16290.000000,15295.000000,15610.000000,14092.029297,926000
2016-02-18,16310.000000,16690.000000,16225.000000,16540.000000,14931.591797,829600
2016-02-19,16385.000000,16400.000000,15880.000000,16030.000000,14471.185547,580400
2016-02-22,16200.000000,16595.000000,16130.000000,16495.000000,14890.967773,708500
2016-02-23,16670.000000,16770.000000,16280.000000,16310.000000,14723.958984,652900
2016-02-24,15945.000000,16315.000000,15675.000000,16090.000000,14525.352539,634800
2016-02-25,16085.000000,16340.000000,16060.000000,16225.000000,14647.225586,483300
